Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,15647.092773,15723.419922,15227.292969,15723.419922,15723.419922,1281085
2010-07-01,15456.274414,15647.092773,15074.637695,15074.637695,15074.637695,103521
2010-07-02,15265.456055,15265.456055,14883.819336,15036.474609,15036.474609,248059
2010-07-05,15112.801758,15189.128906,14998.310547,15189.128906,15189.128906,38152
2010-07-06,14960.147461,15265.456055,14883.819336,14921.983398,14921.983398,146076
2010-07-07,14921.983398,15189.128906,14883.819336,14883.819336,14883.819336,115181
2010-07-08,14883.819336,15150.964844,14883.819336,14883.819336,14883.819336,137088
2010-07-09,14883.819336,15074.637695,14845.656250,14845.656250,14845.656250,49649
2010-07-12,14845.656250,14883.819336,14731.165039,14731.165039,14731.165039,63142
2010-07-13,15074.637695,15265.456055,14883.819336,15265.456055,15265.456055,291081
2010-07-14,15265.456055,15265.456055,14769.329102,14769.329102,14769.329102,213027
2010-07-15,15036.474609,15036.474609,14883.819336,14883.819336,14883.819336,103181
2010-07-16,15074.637695,15074.637695,14921.983398,14921.983398,14921.983398,247404
2010-07-19,15036.474609,15036.474609,14960.147461,15036.474609,15036.474609,320509
2010-07-20,15074.637695,15074.637695,14921.983398,14960.147461,14960.147461,383869
2010-07-21,14883.819336,14883.819336,14769.329102,14769.329102,14769.329102,183703
2010-07-22,14769.329102,14807.492188,14578.510742,14578.510742,14578.510742,280367
2010-07-23,14540.346680,14578.510742,14464.019531,14502.183594,14502.183594,334946
2010-07-26,14464.019531,14502.183594,14120.546875,14196.874023,14196.874023,349936
2010-07-27,14502.183594,14502.183594,14120.546875,14120.546875,14120.546875,175502
2010-07-28,14120.546875,14425.856445,14082.383789,14082.383789,14082.383789,169631
2010-07-29,14464.019531,14464.019531,14120.546875,14120.546875,14120.546875,62881
2010-07-30,14120.546875,14311.365234,14120.546875,14311.365234,14311.365234,102972
2010-08-02,14311.365234,14387.692383,14120.546875,14120.546875,14120.546875,69092
2010-08-03,14273.201172,14273.201172,14082.383789,14082.383789,14082.383789,192663
2010-08-04,14120.546875,14120.546875,14006.055664,14120.546875,14120.546875,168033
2010-08-05,14235.038086,14235.038086,14158.710938,14196.874023,14196.874023,208178
2010-08-06,14235.038086,14235.038086,14158.710938,14196.874023,14196.874023,300308
2010-08-09,14006.055664,14235.038086,13624.419922,13624.419922,13624.419922,292603
2010-08-10,13471.764648,13548.092773,13204.619141,13242.783203,13242.783203,489466
2010-08-11,13357.274414,13471.764648,13204.619141,13280.947266,13280.947266,300281
2010-08-12,13051.964844,13280.947266,12861.146484,13242.783203,13242.783203,425870
2010-08-13,12975.637695,13204.619141,12975.637695,13204.619141,13204.619141,139552
2010-08-16,13280.947266,13624.419922,13204.619141,13624.419922,13624.419922,270881
2010-08-17,13662.583008,13929.728516,13509.928711,13929.728516,13929.728516,416647
2010-08-18,13929.728516,13929.728516,13700.747070,13777.074219,13777.074219,141831
2010-08-19,13700.747070,13777.074219,13700.747070,13777.074219,13777.074219,211583
2010-08-20,13777.074219,14158.710938,13738.910156,14158.710938,14158.710938,538280
2010-08-23,14044.219727,14196.874023,14006.055664,14120.546875,14120.546875,446493
2010-08-24,14120.546875,14120.546875,13929.728516,13929.728516,13929.728516,288700
2010-08-25,13700.747070,13738.910156,13433.601563,13738.910156,13738.910156,356169
2010-08-26,13738.910156,13815.238281,13662.583008,13777.074219,13777.074219,605886
2010-08-27,13777.074219,14044.219727,13700.747070,14044.219727,14044.219727,612098
2010-08-30,14196.874023,14464.019531,14196.874023,14425.856445,14425.856445,240933
2010-08-31,14616.674805,14654.837891,14425.856445,14654.837891,14654.837891,1353511
2010-09-01,14349.529297,14654.837891,14158.710938,14654.837891,14654.837891,440675
2010-09-02,null,null,null,null,null,null
2010-09-03,null,null,null,null,null,null
2010-09-06,14807.492188,14807.492188,14502.183594,14502.183594,14502.183594,833747
2010-09-07,14311.365234,14311.365234,14196.874023,14273.201172,14273.201172,269283
2010-09-08,14120.546875,14502.183594,14120.546875,14502.183594,14502.183594,483910
2010-09-09,14578.510742,14654.837891,14425.856445,14464.019531,14464.019531,331435
2010-09-10,14464.019531,14502.183594,14120.546875,14120.546875,14120.546875,145052
2010-09-13,14387.692383,14387.692383,14006.055664,14273.201172,14273.201172,300281
2010-09-14,14120.546875,14464.019531,14120.546875,14235.038086,14235.038086,105801
2010-09-15,14425.856445,14425.856445,14044.219727,14196.874023,14196.874023,529635
2010-09-16,13967.892578,14196.874023,13967.892578,13967.892578,13967.892578,373804
2010-09-17,14044.219727,14349.529297,13967.892578,14349.529297,14349.529297,625301
2010-09-20,14349.529297,14349.529297,14044.219727,14044.219727,14044.219727,385648
2010-09-21,14235.038086,14235.038086,13586.255859,13586.255859,13586.255859,1069732
2010-09-22,13891.565430,13891.565430,13662.583008,13738.910156,13738.910156,222168
2010-09-23,13586.255859,14082.383789,13586.255859,14082.383789,14082.383789,352187
2010-09-24,14082.383789,14082.383789,13929.728516,13929.728516,13929.728516,107398
2010-09-27,13853.401367,13853.401367,13700.747070,13738.910156,13738.910156,346788
2010-09-28,13662.583008,13929.728516,13662.583008,13929.728516,13929.728516,302953
2010-09-29,13777.074219,13929.728516,13700.747070,13891.565430,13891.565430,159804
2010-09-30,13967.892578,13967.892578,13662.583008,13815.238281,13815.238281,675979
2010-10-01,13738.910156,13891.565430,13700.747070,13738.910156,13738.910156,140781
2010-10-04,13891.565430,13891.565430,13700.747070,13738.910156,13738.910156,783697
2010-10-05,13662.583008,13815.238281,13662.583008,13815.238281,13815.238281,558642
2010-10-06,13815.238281,14044.219727,13815.238281,14044.219727,14044.219727,1014416
2010-10-07,14044.219727,14044.219727,13891.565430,13929.728516,13929.728516,392879
2010-10-08,13929.728516,13967.892578,13853.401367,13929.728516,13929.728516,513076
2010-10-11,13738.910156,13929.728516,13738.910156,13929.728516,13929.728516,293153
2010-10-12,13815.238281,13891.565430,13738.910156,13738.910156,13738.910156,160460
2010-10-13,13738.910156,13891.565430,13700.747070,13891.565430,13891.565430,343068
2010-10-14,13929.728516,13929.728516,13891.565430,13891.565430,13891.565430,195127
2010-10-15,13929.728516,13929.728516,13815.238281,13891.565430,13891.565430,439101
2010-10-18,13700.747070,13777.074219,13700.747070,13700.747070,13700.747070,369402
2010-10-19,13586.255859,13662.583008,13433.601563,13548.092773,13548.092773,370582
2010-10-20,13548.092773,13548.092773,13319.110352,13319.110352,13319.110352,471674
2010-10-21,13357.274414,13357.274414,13204.619141,13357.274414,13357.274414,300384
2010-10-22,13433.601563,13433.601563,13204.619141,13280.947266,13280.947266,353603
2010-10-25,12975.637695,13166.456055,12975.637695,13013.801758,13013.801758,447436
2010-10-26,13013.801758,13280.947266,13013.801758,13128.291992,13128.291992,302217
2010-10-27,13357.274414,13357.274414,13090.128906,13280.947266,13280.947266,242475
2010-10-28,13280.947266,13280.947266,13090.128906,13280.947266,13280.947266,160174
